seed,weight_group,alpha,beta,lambda_abnormal,gamma,delta,eta,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,task_sequence
19,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,231.0,485.0,81.0,P4->P16->P18->P10->P20->P8->P12->P11->P2->P3->P17->P15->P14->P5->P6->P7->P19->P9->P13->P1
19,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,274.0,556.6666666666667,107.66666666666666,P4->P16->P20->P8->P10->P3->P2->P15->P17->P5->P18->P11->P12->P13->P6->P7->P14->P1->P19->P9
20,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,198.0,429.99999999999994,149.33333333333334,P19->P17->P15->P9->P20->P2->P1->P7->P6->P14->P13->P8->P11->P5->P3->P18->P12->P4->P16->P10
20,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,202.0,436.66666666666663,148.33333333333334,P19->P17->P15->P7->P9->P4->P6->P20->P2->P1->P14->P13->P8->P12->P18->P3->P11->P5->P16->P10
20,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,235.0,491.66666666666663,123.66666666666667,P17->P19->P15->P20->P11->P5->P2->P1->P7->P9->P18->P13->P8->P3->P14->P6->P10->P4->P16->P12
20,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,215.0,458.3333333333333,152.66666666666669,P19->P17->P15->P7->P9->P4->P20->P2->P1->P14->P6->P10->P18->P13->P8->P12->P11->P5->P3->P16
20,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,249.0,515.0,148.33333333333334,P19->P17->P15->P20->P11->P5->P3->P13->P1->P2->P9->P7->P6->P18->P12->P8->P14->P10->P16->P4
21,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,293.0,588.3333333333335,156.11111111111111,P8->P15->P10->P12->P11->P7->P5->P13->P20->P19->P4->P2->P1->P18->P9->P14->P3->P17->P6->P16
21,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,243.0,505.00000000000006,194.16666666666666,P8->P15->P10->P2->P1->P7->P5->P14->P3->P13->P12->P18->P11->P19->P20->P6->P17->P4->P9->P16
21,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,315.0,625.0,149.16666666666669,P8->P15->P12->P11->P7->P5->P13->P20->P10->P2->P1->P18->P9->P4->P19->P3->P14->P17->P6->P16
21,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,267.0,545.0,185.2777777777778,P8->P15->P10->P2->P1->P12->P11->P7->P5->P13->P3->P14->P17->P20->P19->P4->P6->P16->P18->P9
21,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,297.0,595.0000000000002,156.11111111111111,P8->P15->P10->P12->P11->P7->P5->P13->P20->P2->P1->P18->P4->P19->P9->P14->P3->P17->P6->P16
22,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,255.0,525.0,220.00000000000003,P14->P2->P6->P7->P13->P16->P18->P15->P1->P10->P5->P17->P19->P8->P3->P9->P11->P12->P20->P4
22,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,228.0,480.00000000000006,275.83333333333337,P14->P20->P12->P2->P6->P7->P3->P16->P13->P8->P18->P15->P1->P19->P5->P10->P17->P4->P11->P9
22,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,301.0,601.6666666666666,162.08333333333334,P2->P6->P7->P13->P16->P10->P15->P14->P9->P18->P3->P8->P17->P1->P5->P19->P4->P11->P12->P20
22,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,263.0,538.3333333333334,223.33333333333334,P14->P2->P6->P7->P13->P16->P18->P15->P1->P10->P5->P19->P17->P8->P3->P9->P11->P12->P20->P4
22,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,309.0,615.0000000000001,177.50000000000003,P2->P6->P7->P13->P16->P18->P15->P10->P14->P9->P3->P8->P1->P5->P17->P19->P12->P11->P20->P4
23,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,311.0,618.3333333333334,254.37500000000006,P13->P1->P12->P19->P5->P4->P10->P15->P11->P6->P18->P14->P9->P8->P17->P2->P7->P3->P20->P16
23,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,297.0,595.0,232.5,P15->P13->P1->P12->P9->P14->P5->P19->P6->P11->P18->P4->P10->P16->P8->P17->P2->P7->P3->P20
23,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,337.0,661.6666666666667,208.5416666666667,P13->P1->P12->P19->P8->P4->P5->P15->P18->P6->P11->P14->P9->P20->P10->P16->P17->P2->P7->P3
23,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,311.0,618.3333333333333,231.66666666666666,P13->P1->P12->P5->P19->P6->P11->P18->P14->P9->P4->P10->P20->P8->P17->P15->P2->P7->P3->P16
