experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,vehicle_execution_time,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,0,,,,,,,skipped
vehicle,A-RH-PADS-L vs RH-PADS-L,total_path_length,A-RH-PADS-L,RH-PADS-L,30,212.83333333333334,232.93333333333334,-20.1,22.48424735921451,-4.8964162464357655,3.382869852379304e-05,significant
vehicle,A-RH-PADS-L vs RH-PADS-L,total_inspection_time,A-RH-PADS-L,RH-PADS-L,30,482.24000000000007,520.5333333333333,-38.29333333333334,41.28361061907167,-5.080496147069512,2.0280407839405506e-05,significant
vehicle,A-RH-PADS-L vs RH-PADS-L,high_priority_avg_response_time,A-RH-PADS-L,RH-PADS-L,30,162.10396392496392,125.70211459836455,36.401849326599326,34.9252538203482,5.708795736644387,3.5507681238368605e-06,significant
vehicle,A-RH-PADS-L vs RH-PADS-L,priority_weighted_completion_time,A-RH-PADS-L,RH-PADS-L,30,193.5615890865926,183.8511840999239,9.710404986668697,15.683952100525499,3.391114573431332,0.0020268755557138183,significant
vehicle,A-RH-PADS-L vs RH-PADS-L,abnormal_avg_response_time,A-RH-PADS-L,RH-PADS-L,0,,,,,,,skipped
vehicle,A-RH-PADS-L vs RH-PADS-L,abnormal_priority_rate,A-RH-PADS-L,RH-PADS-L,0,,,,,,,skipped
vehicle,A-RH-PADS-L vs RH-PADS-L,vehicle_trajectory_length,A-RH-PADS-L,RH-PADS-L,30,193.73924580618052,211.94834717938346,-18.20910137320295,21.32098640284122,-4.677802136149051,6.206529324123359e-05,significant
vehicle,A-RH-PADS-L vs RH-PADS-L,vehicle_execution_time,A-RH-PADS-L,RH-PADS-L,30,382.57333333333344,420.8666666666667,-38.29333333333332,41.283610619071666,-5.080496147069511,2.0280407839405584e-05,significant
vehicle,A-RH-PADS-L vs TSP-2opt,total_path_length,A-RH-PADS-L,TSP-2opt,30,212.83333333333334,164.3,48.53333333333333,17.96497230404371,14.797017778647273,4.771083687563316e-15,significant
