seed,method,completed_task_num,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,abnormal_avg_response_time,abnormal_priority_rate,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
10,RH-v2-Light,19,180.0,163.96696412022902,326.8,421.8,111.60000000000001,0.0,0.0,122.76353747884025,100.0,0.9109275784457168,1,0,0,1,P10->P13->P5->P8->P7->P11->P16->P19->P2->P20->P4->P14->P1->P15->P17->P9->P18->P3->P12
10,TSP-2opt,19,118.0,106.21138718258463,216.8,311.79999999999995,176.9857142857143,0.0,0.0,91.65288520720402,100.0,0.9000965015473273,1,0,0,1,P10->P9->P17->P13->P5->P18->P3->P12->P8->P7->P11->P14->P4->P2->P1->P20->P15->P19->P16
10,Priority-Greedy,19,244.0,222.2474803087107,432.5000000000001,527.5,159.7,0.0,0.0,142.95706038125758,100.0,0.9108503291340602,1,0,0,1,P7->P8->P11->P16->P19->P20->P2->P4->P13->P5->P10->P17->P9->P3->P14->P1->P15->P18->P12
11,AStarOnly,20,144.0,127.47016021890741,255.89999999999998,355.90000000000003,145.6,0.0,0.0,104.37608325393474,100.0,0.8852094459646348,0,0,0,0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P6->P9->P16->P19->P11->P17->P12
11,Proposed-Balanced,20,219.0,200.132192276994,394.6,494.59999999999997,107.8142857142857,0.0,0.0,147.52814407171175,100.0,0.913845626835589,0,0,0,0,P3->P20->P13->P2->P18->P8->P10->P7->P4->P6->P9->P19->P11->P17->P12->P5->P1->P15->P16->P14
11,RH-v2-Light,20,216.0,196.53390051922838,394.40000000000003,494.40000000000003,109.54285714285713,0.0,0.0,158.1554746525612,100.0,0.9098791690705018,0,0,0,0,P3->P20->P13->P2->P18->P8->P7->P10->P4->P15->P6->P9->P19->P16->P11->P17->P12->P14->P1->P5
11,TSP-2opt,20,144.0,127.47016021890741,255.89999999999998,355.90000000000003,145.6,0.0,0.0,104.37608325393474,100.0,0.8852094459646348,0,0,0,0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P6->P9->P16->P19->P11->P17->P12
11,Priority-Greedy,20,255.0,233.82034402642947,462.40000000000003,562.4000000000001,131.07142857142858,0.0,0.0,171.42918128047722,100.0,0.916942525593841,0,0,0,0,P3->P13->P20->P2->P6->P9->P4->P10->P7->P19->P17->P18->P8->P15->P1->P14->P5->P12->P11->P16
12,AStarOnly,20,163.0,147.59647835776428,294.5,394.5,170.81111111111107,0.0,0.0,110.43490674979702,100.0,0.9054998672255478,0,0,0,0,P7->P19->P3->P1->P8->P18->P17->P12->P6->P10->P20->P4->P11->P13->P9->P5->P2->P14->P16->P15
12,Proposed-Balanced,20,212.0,192.14677137588956,380.3999999999999,480.40000000000003,149.8,0.0,0.0,146.60479789687173,100.0,0.9063526951692904,0,0,0,0,P19->P16->P14->P18->P17->P12->P6->P10->P20->P4->P5->P9->P2->P3->P7->P1->P8->P15->P13->P11
12,RH-v2-Light,20,225.0,206.21593468383907,404.59999999999997,504.6000000000001,94.44444444444446,0.0,0.0,145.24415846842126,100.0,0.916515265261507,0,0,0,0,P7->P19->P16->P14->P18->P12->P6->P10->P4->P20->P13->P5->P2->P3->P1->P17->P8->P15->P11->P9
12,TSP-2opt,20,159.0,140.00685640525734,283.8,383.79999999999995,175.2222222222222,0.0,0.0,115.35391220880302,100.0,0.8805462666997317,0,0,0,0,P7->P19->P3->P1->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P14->P16->P8
