seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,lambda_before_abnormal,lambda_after_abnormal,lambda_change,lambda_mean,lambda_min,lambda_max,lambda_std,algorithm_runtime_ms,task_sequence
26,A-RH-PADS-Full,20,177.0,395.00000000000006,111.66666666666667,148.2651186330018,20.0,75.0,54.58333333333333,1,0.5922058005493427,0.7727683680152237,0.18056256746588106,0.6262129116454209,0.4807770704397032,0.7797359727084883,0.12192389546094684,64.19908202951774,P1->P15->P4->P9->P13->P8->P17->P5->P2->P10->P16->P11->P20->P19->P12->P14->P18->P6->P3->P7
26,A-RH-PADS-FixedLambda,20,157.0,361.66666666666663,121.11111111111113,133.52181268206147,20.0,25.0,146.24999999999997,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,66.53594103408977,P1->P15->P19->P12->P4->P9->P13->P8->P17->P5->P2->P10->P11->P20->P16->P7->P14->P3->P6->P18
26,A-RH-PADS-NoUrgencyPressure,20,157.0,361.66666666666663,118.33333333333333,133.77401698715516,20.0,25.0,146.24999999999997,1,0.4247174948429965,0.6506654800382355,0.22594798519523906,0.579953042211624,0.42129168710467335,0.6708792409507128,0.10121863928845089,64.71434101695195,P1->P15->P19->P12->P4->P9->P13->P8->P17->P5->P2->P10->P20->P11->P16->P7->P14->P3->P6->P18
26,A-RH-PADS-NoAbnormalPressure,20,177.0,395.00000000000006,111.66666666666667,148.2651186330018,20.0,75.0,54.58333333333333,1,0.5922058005493427,0.6109877705260023,0.018781969976659596,0.5590056300172338,0.4807770704397032,0.6263053205469229,0.04866720194707682,64.57868299912661,P1->P15->P4->P9->P13->P8->P17->P5->P2->P10->P16->P11->P20->P19->P12->P14->P18->P6->P3->P7
26,A-RH-PADS-NoPathPressure,20,183.0,405.00000000000006,120.55555555555556,155.78547752854845,20.0,75.0,57.08333333333333,1,0.6854104121793452,0.8088554701597754,0.12344505798043026,0.6927182867103944,0.5694802837039872,0.8088554701597754,0.09711899442085895,74.23746603308246,P1->P15->P4->P9->P8->P13->P5->P17->P2->P10->P16->P20->P11->P19->P12->P14->P18->P6->P3->P7
26,A-RH-PADS-ResponseOnly,20,177.0,395.00000000000006,139.44444444444446,161.4388230165608,20.0,75.0,45.0,1,0.85,0.85,0.0,0.85,0.85,0.85,0.0,61.82642700150609,P1->P15->P4->P9->P8->P13->P2->P16->P10->P11->P20->P5->P17->P12->P19->P7->P14->P6->P3->P18
26,A-RH-PADS-CostOnly,20,179.0,398.3333333333333,121.11111111111113,133.5588751339137,20.0,25.0,172.49999999999997,1,0.25,0.25,0.0,0.25,0.25,0.25,0.0,65.52310602273792,P1->P15->P19->P12->P4->P9->P13->P8->P17->P5->P2->P10->P11->P20->P16->P14->P18->P6->P3->P7
26,A-RH-PADS-NoFinishTimeResponse,20,198.0,430.0,113.88888888888891,159.71936530236692,20.0,75.0,74.58333333333334,1,0.5922058005493427,0.7727683680152237,0.18056256746588106,0.6210462008198233,0.4719375244744508,0.7797359727084883,0.12323013422882433,63.84593702387065,P1->P15->P4->P9->P2->P13->P8->P17->P5->P20->P16->P10->P19->P12->P14->P6->P18->P3->P7->P11
27,A-RH-PADS-Full,20,232.0,486.66666666666674,100.66666666666666,199.8035680098138,60.0,0.0,251.25000000000003,1,0.6065229883057783,0.773591664354259,0.16706867604848064,0.710222145947461,0.52951754289787,0.7738899224267946,0.08239182670268984,88.27367099002004,P2->P10->P18->P5->P14->P15->P19->P9->P4->P1->P3->P6->P12->P11->P20->P17->P8->P13->P7->P16
27,A-RH-PADS-FixedLambda,20,228.0,480.0000000000001,102.6666666666667,179.53971720819405,60.0,0.0,222.08333333333337,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,89.94176599662751,P2->P10->P18->P12->P15->P5->P14->P19->P9->P4->P1->P13->P3->P6->P11->P8->P17->P20->P7->P16
