map_width,map_height,obstacle_ratio,task_num,method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
50,50,0.3,20,NNF,13.45,9.058145505565696,227.55,155.75773191925845,446.5,304.19335379200527,177.40555555555557,147.45335916368597,206.71596662516905,142.69757326952575,16.0,13.917047478769186,78.0409906496061,62.23618423903998
50,50,0.3,20,Proposed-Balanced,13.45,9.058145505565696,316.75,217.8637611468521,595.1666666666667,407.4452928512817,166.2654761904762,134.88594844373822,250.99518765780977,172.43160269520925,32.0,30.017538732863283,78.63012650341261,61.0217214055471
50,50,0.3,20,RH-Proposed-v2,13.45,9.058145505565696,298.65,205.7014379603297,565.0,387.13296142870786,129.59761904761905,112.60865143093372,217.72363527767808,149.8623507641076,37.0,32.62223975014268,1628.0293783987872,1287.9945324923146
50,50,0.1,40,AStarOnly,40.0,0.0,363.45,41.291613778357615,805.75,68.81935629726266,376.4337308524809,83.81076950846386,368.1253636350236,34.84184349196387,25.0,19.330913339165217,341.19053660251666,22.660333827355466
50,50,0.1,40,NNF,40.0,0.0,356.05,33.28580383349792,793.4166666666667,55.476339722496505,388.343688949939,74.58974548871781,374.3980884333762,31.56117033836043,23.0,18.66604008973459,340.4852553998353,23.827393304332954
50,50,0.1,40,Proposed-Balanced,40.0,0.0,648.5,46.308462339085786,1280.8333333333335,77.18077056514288,357.26872224997226,67.5973634733184,501.4541087684551,32.79370243443578,59.0,18.890264827766654,351.6736958961701,23.90537140366431
50,50,0.1,40,RH-Proposed-v2,40.0,0.0,590.0,43.91379114391718,1183.3333333333333,73.18965190652867,267.6497396122396,45.73632890041144,429.2781719132204,34.42783648388549,70.0,18.918106058538346,7870.6412247003755,657.3418406567656
50,50,0.2,40,AStarOnly,39.85,0.36634754853252327,393.25,34.40146110728132,854.6666666666667,57.26362551408659,390.7601851851852,70.85051685149237,393.068374878141,26.100688685041675,26.0,20.62190965683675,275.76425660518,42.59762449870765
50,50,0.2,40,NNF,39.85,0.36634754853252327,397.5,29.688736123849715,861.75,49.288727463495796,388.78030603655606,55.48652567731014,392.5845399016485,25.270730775864195,28.0,21.908902300206645,275.83803875604644,41.98607009463824
50,50,0.2,40,Proposed-Balanced,39.85,0.36634754853252327,665.85,54.86948629535171,1309.0,92.16753116564199,369.31766474266476,112.16603837440137,511.36740168284075,47.130659747030656,61.0,17.74082416646034,286.8161398975644,44.17062666675139
50,50,0.2,40,RH-Proposed-v2,39.85,0.36634754853252327,605.9,37.427684659184685,1209.0833333333335,62.705743229134335,256.61356721981724,66.44284831042981,442.4410766927367,33.3921326202105,69.0,21.980852911951395,6424.141961603891,1029.3746388927482
50,50,0.3,40,AStarOnly,26.8,18.019287911626954,320.4,217.6739232018968,668.0,452.08600330685414,315.04857549857553,232.48942727331627,316.5598246320449,215.2112821668218,13.0,17.501879598308413,309.8479570093332,217.41562219051912
50,50,0.3,40,NNF,26.8,18.019287911626954,326.55,222.52698830999307,678.25,459.9779027873313,303.9235754985755,216.59758078116283,311.5768901099996,212.11483505477528,13.0,19.76173868336169,306.19174274033867,214.91002545221082
50,50,0.3,40,Proposed-Balanced,26.8,18.019287911626954,557.3,380.3643820836735,1062.8333333333335,722.652298847267,297.825551994302,219.73041384238135,407.47563373437964,277.2640398214668,32.0,27.834094957538372,324.3369657517178,229.16532006902713
50,50,0.3,40,RH-Proposed-v2,26.8,18.019287911626954,499.95,337.84370023647574,967.25,652.8122418424881,201.94170227920227,148.3084077283435,342.26849922644635,232.36074868985216,38.0,30.36618618064993,7263.896293443395,5135.685853628748
